project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Ughelli East,Nigeria,operating,1959.0,,Nigerian Petroleum Development Company,Nigerian Petroleum Development Company;ND Western,Nigerian National Petroleum Corporation;Niger Delta Petroleum;Petrolin Trading Limited;FIRST Exploration & Petroleum Development Company Ltd.;Walter-Smith Exploration and Production Limited,oil and gas,field,5.5197,5.933,https://www.gem.wiki/Ughelli_East_Oil_and_Gas_Field_(Nigeria)
Ukpam,Nigeria,operating,1989.0,,Addax,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Ukpam_Oil_and_Gas_Field_(Nigeria)
Umusadege,Nigeria,operating,1974.0,2008,Midwestern Oil and Gas Limited,Midwestern Oil & Gas Company Limited (70%);SunTrust Oil Company Limited (30%),Midwestern Oil & Gas Company Limited (70%);SunTrust Oil Company Limited (30%),oil and gas,field,5.414,6.477,https://www.gem.wiki/Umusadege_Oil_and_Gas_Field_(Nigeria)
Unam,Nigeria,operating,,,Mobil,,,oil and gas,field,4.3086,8.196,https://www.gem.wiki/Unam_Oil_and_Gas_Field_(Nigeria)
Uquo,Nigeria,operating,1958.0,,Savannah Energy,Savannah Energy (80%);African Infrastructure Investment Managers (20%),Savannah Energy (80%);Macquarie (nan%);Old Mutual (nan%),oil and gas,field,7.9179,4.6472,https://www.gem.wiki/Uquo_Oil_and_Gas_Field_(Nigeria)
Usan,Nigeria,operating,2002.0,2012,Esso Exploration and Production Nigeria (Offshore East),TotalEnergies (20%);Chevron Petroleum Nigeria (30%);Esso Exploration and Production Nigeria (Offshore East) (30%);China National Petroleum Corporation (20%),TotalEnergies (20%);Chevron Corporation (30%);ExxonMobil Corporation (30%);China National Petroleum Corporation (20%),oil,field,3.557,7.456,https://www.gem.wiki/Usan_Oil_Field_(Nigeria)
Usari,Nigeria,operating,1964.0,,Seplat Petroleum,Seplat Petroleum (40%);Nigerian National Petroleum Corporation (60%),Seplat Petroleum (40%);Nigerian National Petroleum Corporation (60%),oil,field,4.229,7.768,https://www.gem.wiki/Usari_Oil_Field_(Nigeria)
Utonana,Nigeria,operating,,,Chevron,,,oil and gas,field,5.7263,5.3533,https://www.gem.wiki/Utonana_Oil_and_Gas_Field_(Nigeria)
Utorogu/Ugheli (ND Western),Nigeria,operating,,,ND Western,,,oil and gas,field,5.4547,5.8821,https://www.gem.wiki/UtoroguUgheli_(ND_Western)_Oil_and_Gas_Field_(Nigeria)
Utorogu/Ugheli (NPDC),Nigeria,operating,,,Nigerian Petroleum Development Company,FIRST Exploration & Petroleum Development (55%);Petrolin Group (20.3%);Nigerian National Petroleum Corporation (20.2%),FIRST Exploration & Petroleum Development Company Ltd. (55%);Petrolin (20.3%);Nigerian National Petroleum Corporation (20.2%),oil and gas,field,5.4547,5.8821,https://www.gem.wiki/UtoroguUgheli_(NPDC)_Oil_and_Gas_Field_(Nigeria)
Utue,Nigeria,operating,,,Mobil,,,oil and gas,field,4.183,8.213,https://www.gem.wiki/Utue_Oil_and_Gas_Field_(Nigeria)
